Player,Player,Date,Opponent,Event_Name,Event_Stage,Venue,Toss_Decision,Dismissal_Kind,Dismissed_By,Caught_By,Wicket_Kinds
R Rampaul,R Rampaul,2003-11-30,Zimbabwe,West Indies tour of Zimbabwe,,Harare Sports Club,bat,,,,
R Rampaul,R Rampaul,2004-02-01,South Africa,West Indies tour of South Africa,,SuperSport Park,bat,,,,caught
R Rampaul,R Rampaul,2004-05-02,England,England tour of West Indies,,Daren Sammy National Cricket Stadium,field,,,,bowled
R Rampaul,R Rampaul,2004-05-19,Bangladesh,Bangladesh tour of West Indies,,National Cricket Stadium,bat,,,,caught
R Rampaul,R Rampaul,2004-06-27,England,NatWest Series,,Trent Bridge,field,,,,bowled|caught
R Rampaul,R Rampaul,2004-07-01,England,NatWest Series,,Headingley,field,caught,D Gough,JM Anderson,
R Rampaul,R Rampaul,2007-07-01,England,NatWest Series,,Lord's,field,caught,LE Plunkett,SCJ Broad,lbw
R Rampaul,R Rampaul,2007-07-04,England,NatWest Series,,Edgbaston,field,,,,lbw|bowled|caught|caught
R Rampaul,R Rampaul,2007-07-07,England,NatWest Series,,Trent Bridge,bat,,,,lbw
R Rampaul,R Rampaul,2007-07-14,Ireland,Quadrangular Series (Ireland),,Clontarf Cricket Club Ground,bat,,,,bowled
R Rampaul,R Rampaul,2007-11-30,Zimbabwe,West Indies in Zimbabwe ODI Series,,Harare Sports Club,field,caught,E Chigumbura,P Utseya,
R Rampaul,R Rampaul,2007-12-02,Zimbabwe,West Indies in Zimbabwe ODI Series,,Harare Sports Club,field,Not Out,,,caught
R Rampaul,R Rampaul,2007-12-07,Zimbabwe,West Indies in Zimbabwe ODI Series,,Queens Sports Club,field,,,,
R Rampaul,R Rampaul,2008-01-20,South Africa,West Indies in South Africa ODI Series,,SuperSport Park,field,run out,,,caught
R Rampaul,R Rampaul,2008-01-25,South Africa,West Indies in South Africa ODI Series,,Newlands,bat,caught,DW Steyn,GC Smith,
R Rampaul,R Rampaul,2008-02-03,South Africa,West Indies in South Africa ODI Series,,New Wanderers Stadium,field,,,,
R Rampaul,R Rampaul,2009-04-03,England,England in West Indies ODI Series,,"Beausejour Stadium, Gros Islet",field,lbw,A Flintoff,,caught
R Rampaul,R Rampaul,2009-05-24,England,NatWest Series,,County Ground,field,caught,SCJ Broad,GP Swann,
R Rampaul,R Rampaul,2009-05-26,England,NatWest Series,,Edgbaston,field,bowled,GP Swann,,
R Rampaul,R Rampaul,2009-06-28,India,India in West Indies ODI Series,,"Sabina Park, Kingston",bat,,,,caught|caught|caught|caught
R Rampaul,R Rampaul,2009-07-03,India,India in West Indies ODI Series,,"Beausejour Stadium, Gros Islet",field,,,,
R Rampaul,R Rampaul,2010-02-07,Australia,West Indies in Australia ODI Series,,Melbourne Cricket Ground,field,caught,NM Hauritz,SE Marsh,caught|bowled
R Rampaul,R Rampaul,2010-02-09,Australia,West Indies in Australia ODI Series,,Adelaide Oval,bat,run out,,,
R Rampaul,R Rampaul,2010-02-12,Australia,West Indies in Australia ODI Series,,Sydney Cricket Ground,field,,,,bowled|caught|bowled|caught
R Rampaul,R Rampaul,2010-02-14,Australia,West Indies in Australia ODI Series,,"Brisbane Cricket Ground, Woolloongabba",field,,,,caught
R Rampaul,R Rampaul,2010-02-19,Australia,West Indies in Australia ODI Series,,Melbourne Cricket Ground,bat,stumped,SPD Smith,,caught|caught
R Rampaul,R Rampaul,2010-03-10,Zimbabwe,Zimbabwe in West Indies ODI Series,,"Arnos Vale Ground, Kingstown",field,run out,,,
R Rampaul,R Rampaul,2010-03-12,Zimbabwe,Zimbabwe in West Indies ODI Series,,"Arnos Vale Ground, Kingstown",field,,,,caught|bowled
R Rampaul,R Rampaul,2010-03-14,Zimbabwe,Zimbabwe in West Indies ODI Series,,"Arnos Vale Ground, Kingstown",field,,,,caught|caught
R Rampaul,R Rampaul,2010-05-22,South Africa,South Africa in West Indies ODI Series,,"Sir Vivian Richards Stadium, North Sound",field,caught,LL Tsotsobe,GC Smith,bowled|bowled
R Rampaul,R Rampaul,2010-05-24,South Africa,South Africa in West Indies ODI Series,,"Sir Vivian Richards Stadium, North Sound",bat,run out,,,
R Rampaul,R Rampaul,2010-05-28,South Africa,South Africa in West Indies ODI Series,,"Windsor Park, Roseau",bat,caught,M Morkel,J Botha,bowled
R Rampaul,R Rampaul,2010-05-30,South Africa,South Africa in West Indies ODI Series,,"Windsor Park, Roseau",bat,,,,
R Rampaul,R Rampaul,2011-02-03,Sri Lanka,West Indies in Sri Lanka ODI Series,,Sinhalese Sports Club Ground,field,bowled,SL Malinga,,caught
